20000001;NL400000471B76;Year BV
20000002;NL400000869B46;Cemetery
20000003;NL400000186B73;Birthday NV
20000004;NL400000663B60;Hands BV
20000005;NL400000643B21;Deer VOF
20000006;NL400000682B47;Letter NV
20000007;NL400000435B28;Amount BV
20000008;NL400000559B29;Vein BV
20000009;NL400000515B42;Point BV
20000010;NL400000695B72;Interest BV
20000011;NL400000686B95;Mailbox BV
20000012;NL400000016B93;Powder BV
20000013;NL400000245B69;Quiver NV
20000014;NL400000583B20;Lunchroom VOF
20000015;NL400000243B24;Condition NV
20000016;NL400000228B75;Finger BV
20000017;NL400000799B36;Dirt
20000018;NL400000792B33;Pancake BV
20000019;NL400000167B80;Structure
20000020;NL400000774B16;Pollution BV
20000021;NL400000497B99;Army
20000022;NL400000129B78;Fish NV
20000023;NL400000720B28;Show BV
20000024;NL400000868B74;Oven VOF
20000025;NL400000365B38;Bird BV
20000026;NL400000575B62;Distribution
20000027;NL400000261B97;Relation BV
20000028;NL400000368B78;Pie
20000029;NL400000218B42;Boy
20000030;NL400000551B85;Skirt VOF
20000031;NL400000619B50;Ship BV
20000032;NL400000316B83;Wish BV
20000033;NL400000008B27;Dogs BV
20000034;NL400000379B97;Trouble BV
20000035;NL400000377B81;Knife BV
20000036;NL400000623B23;Letters NV
20000037;NL400000813B54;Snail
20000038;NL400000027B15;Fairies NV
20000039;NL400000317B76;Rub VOF
20000040;NL400000314B23;Heat
20000041;NL400000285B53;Authority
20000042;NL400000231B85;Railway BV
20000043;NL400000895B52;Territory BV
20000044;NL400000654B98;Stem BV
20000045;NL400000761B12;Squirrel BV
20000046;NL400000502B38;Popcorn VOF
20000047;NL400000996B58;Back BV
20000048;NL400000960B72;Mice BV
20000049;NL400000351B39;Part
20000050;NL400000739B30;Fact BV
20000051;NL400000313B94;Drink
20000052;NL400000795B69;Books BV
20000053;NL400000338B97;Level BV
20000054;NL400000715B92;Turkey
20000055;NL400000101B32;Motion
20000056;NL400000430B74;Cherries NV
20000057;NL400000298B61;Desk NV
20000058;NL400000590B25;Grandmother BV
20000059;NL400000470B65;Cart BV
20000060;NL400000128B52;Creator BV
20000061;NL400000092B45;Jelly
20000062;NL400000141B53;Bit NV
20000063;NL400000264B92;Teaching NV
20000064;NL400000834B22;Space BV
20000065;NL400000051B46;Yak BV
20000066;NL400000352B91;Brake
20000067;NL400000489B82;Minister BV
20000068;NL400000232B87;Furniture
20000069;NL400000047B29;Lace BV
20000070;NL400000772B13;Debt BV
20000071;NL400000476B44;Square VOF
20000072;NL400000861B48;Battle
20000073;NL400000676B32;Tub BV
20000074;NL400000109B77;Harmony BV
20000075;NL400000421B43;Form BV
20000076;NL400000196B18;Lamp NV
20000077;NL400000928B60;Maid VOF
20000078;NL400000998B80;Angle BV
20000079;NL400000282B88;Bead BV
20000080;NL400000605B58;Tongue BV
20000081;NL400000901B94;Hill NV
20000082;NL400000596B84;Roof
20000083;NL400000262B83;Hair BV
20000084;NL400000890B81;Page BV
20000085;NL400000409B30;Table BV
20000086;NL400000987B68;Scent
20000087;NL400000958B43;Shoes
20000088;NL400000781B97;Place NV
20000089;NL400000227B68;Hydrant NV
